px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
8.25518	20.4902	4.75941	-2.80376	0.513334	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	0.096662	R
8.03182	20.409	4.75941	-2.77809	0.513334	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	6.91291e-310	L
7.86889	20.328	4.74993	-2.7429	0.532564	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	3.34051	R
7.65139	20.2335	4.74993	-2.71627	0.532564	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	6.91291e-310	L
7.3831	20.1464	4.78002	-2.69741	0.523148	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	0.45475	R
7.16877	20.0415	4.78002	-2.67125	0.523148	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	6.91291e-310	L
6.94177	19.9661	4.76849	-2.65794	0.508318	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	0.547882	R
6.73223	19.8532	4.76849	-2.63253	0.508318	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	6.91291e-310	L
6.53516	19.7853	4.74748	-2.61868	0.498684	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	2.51354	R
6.3311	19.6649	4.74748	-2.59375	0.498684	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	6.91291e-310	L
5.98463	19.5436	4.89583	-2.57429	0.502705	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	2.58685	R
5.77995	19.4103	4.89583	-2.54916	0.502705	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	6.91291e-310	L
5.65596	19.2325	4.83917	-2.50917	0.512476	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	0.719023	R
5.4627	19.0878	4.83917	-2.48355	0.512476	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	6.91291e-310	L
5.36798	18.9882	4.69162	-2.46943	0.491463	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	4.30919	R
5.18626	18.8407	4.69162	-2.44485	0.491463	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	6.91291e-310	L
4.80525	18.7486	4.85179	-2.45369	0.471456	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	2.97795	R
4.61972	18.5932	4.85179	-2.43011	0.471456	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	6.91291e-310	L
4.4731	18.4566	4.76784	-2.41746	0.451873	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	1.14966	R
