px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
20.1311	9.60538	4.82311	1.16505	0.332834	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	6.92448e-310	R
20.2	9.85376	4.8453	1.19683	0.349231	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	0.325845	L
20.2864	10.0797	4.8453	1.21429	0.349231	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	6.92448e-310	R
20.2965	10.3608	4.87754	1.27154	0.392348	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	1.95167	L
20.366	10.5942	4.87754	1.29116	0.392348	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	6.92448e-310	R
20.4067	10.8852	4.95288	1.33066	0.413541	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.11112	L
20.463	11.126	4.95288	1.35134	0.413541	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	6.92448e-310	R
20.4461	11.3658	4.91011	1.4005	0.444703	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	1.15633	L
20.485	11.6078	4.91011	1.42273	0.444703	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	6.92448e-310	R
20.5503	11.8764	4.96877	1.43463	0.433066	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	0.538708	L
20.5813	12.1225	4.96877	1.45628	0.433066	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	6.92448e-310	R
20.5066	12.4111	5.00012	1.5259	0.484816	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	2.73378	L
20.5148	12.6606	5.00012	1.55014	0.484816	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	6.92448e-310	R
20.5104	12.9051	4.98951	1.57681	0.487547	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	0.020509	L
20.5059	13.1542	4.98951	1.60119	0.487547	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	6.92448e-310	R
20.3904	13.3364	4.8535	1.66822	0.535082	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	4.36867	L
20.3636	13.5772	4.8535	1.69497	0.535082	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	6.92448e-310	R
20.3281	13.8385	4.89058	1.72323	0.536353	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	0.165611	L
20.2878	14.0793	4.89058	1.75005	0.536353	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	6.92448e-310	R
20.1992	14.3241	4.90174	1.7955	0.556482	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.422506	L
20.1413	14.5619	4.90174	1.82332	0.556482	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	6.92448e-310	R
19.9732	14.7893	4.90377	1.89761	0.606984	19.781	14.773	19.934	14.6897	-1.30687	4.62805	2.54657	L
19.8911	15.02	4.90377	1.92796	0.606984	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	6.92448e-310	R
19.8779	15.2374	4.8624	1.92553	0.571763	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	1.45126	L
19.7903	15.4639	4.8624	1.95412	0.571763	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	6.92448e-310	R
19.7699	15.6509	4.76897	1.95413	0.541598	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	1.95523	L
19.6778	15.8705	4.76897	1.98121	0.541598	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	6.92448e-310	R
19.5426	16.0629	4.74628	2.02745	0.562577	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	0.499324	L
19.4351	16.2741	4.74628	2.05558	0.562577	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	6.92448e-310	R
19.2897	16.4179	4.65931	2.1069	0.588351	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	1.55739	L
19.1679	16.6161	4.65931	2.13631	0.588351	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	6.92448e-310	R
19.0283	16.8184	4.68038	2.16946	0.592214	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	0.0675466	L
18.8937	17.0095	4.68038	2.19907	0.592214	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	6.92448e-310	R
18.711	17.2502	4.79881	2.23526	0.59835	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	1.69713	L
18.5604	17.4365	4.79881	2.26517	0.59835	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	6.92448e-310	R
